mileage,make,model,fuel,gear,offerType,price,hp,year,price_log,car_age,pred,residual,abs_error
188786,Ford,Kuga,Diesel,,Used,8750,"140,0",2011,"9,07680897935166",11,"8,928168920117752","0,14864005923390877","0,14864005923390877"
48919,Ford,EcoSport,Gasoline,Manual,Used,11280,"125,0",2017,"9,33078652505205",5,"9,519003904966914","-0,18821737991486387","0,18821737991486387"
83000,Renault,Scenic,Gasoline,Manual,Used,4650,"131,0",2011,"8,444622498581403",11,"8,803013410733994","-0,35839091215259167","0,35839091215259167"
60189,Renault,Espace,Gasoline,Automatic,Used,25490,"224,0",2018,"10,146041497370161",4,"10,210481561670923","-0,06444006430076143","0,06444006430076143"
134634,Volkswagen,Polo,Gasoline,Manual,Used,8999,"110,0",2016,"9,104868739033948",6,"9,072808591168954","0,03206014786499445","0,03206014786499445"
48287,Volkswagen,Golf Plus,Gasoline,Manual,Used,8998,"86,0",2012,"9,104757609401117",10,"8,861362409800533","0,24339519960058453","0,24339519960058453"
124450,Skoda,Yeti,Gasoline,Manual,Used,10950,"110,0",2016,"9,301094735244646",6,"9,118587402666014","0,1825073325786324","0,1825073325786324"
100300,Volkswagen,Golf,Diesel,Manual,Used,18980,"184,0",2018,"9,85114107216392",4,"9,8471059577988","0,004035114365120052","0,004035114365120052"
45358,Volkswagen,up!,Gasoline,Manual,Used,7392,"60,0",2018,"8,90815361332152",4,"8,973903401865993","-0,06574978854447266","0,06574978854447266"
58000,Opel,Corsa,Gasoline,Manual,Used,9950,"116,0",2016,"9,205327830152639",6,"9,290085288018734","-0,08475745786609501","0,08475745786609501"
103000,Ford,Fiesta,Gasoline,Manual,Used,4950,"60,0",2015,"8,507142855562735",7,"8,667458801749602","-0,1603159461868664","0,1603159461868664"
54989,Volkswagen,up!,Gasoline,Manual,Used,7490,"60,0",2016,"8,921324076511265",6,"8,85709550404932","0,06422857246194447","0,06422857246194447"
120000,Opel,Adam,Gasoline,Manual,Used,7650,"101,0",2013,"8,942460926820582",9,"8,719515515668906","0,22294541115167554","0,22294541115167554"
10,Renault,Twingo,Gasoline,Manual,Pre-registered,14190,"65,0",2021,"9,560292770154089",1,"9,431510508039453","0,12878226211463506","0,12878226211463506"
9990,Ford,Ranger,Diesel,Automatic,Used,39270,"200,0",2017,"10,578216147572055",5,"10,391393343064767","0,1868228045072886","0,1868228045072886"
6795,Opel,Corsa,Gasoline,Manual,Used,11990,"75,0",2020,"9,39182824802156",2,"9,487208323616054","-0,09538007559449468","0,09538007559449468"
33774,Volkswagen,Sharan,Diesel,Automatic,Used,39930,"177,0",2019,"10,594883200057266",3,"10,263957054352359","0,3309261457049075","0,3309261457049075"
153895,Volkswagen,Tiguan,Gasoline,Manual,Used,9980,"122,0",2013,"9,20833836930551",9,"8,957641616807965","0,25069675249754475","0,25069675249754475"
166723,Renault,Captur,Diesel,Manual,Used,8980,"110,0",2016,"9,102755161296246",6,"8,9862388960326","0,11651626526364645","0,11651626526364645"
178965,Skoda,Octavia,Diesel,Manual,Used,9880,"150,0",2015,"9,198267790741914",7,"9,251352804440563","-0,05308501369864871","0,05308501369864871"
98000,Volkswagen,Polo,Gasoline,Manual,Used,6990,"69,0",2011,"8,852235835227855",11,"8,62250175558396","0,22973407964389558","0,22973407964389558"
